,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
85,27.5876666705,0.140999952952,0.196864151199,0.264616171177,0.7,0,0.01,5,0.8,"{'subsample': 0.8, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 5, 'gamma': 0}",136,0.181577344473,0.276059407718,0.205694888365,0.235488765136,0.203322102212,0.282300340676,0.100350513204,0.00163306947556,0.01085338309,0.0207531788417
86,4920.36900004,0.152999957403,0.197911761538,0.26716441278,0.7,0,0.01,5,0.9,"{'subsample': 0.9, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 5, 'gamma': 0}",135,0.180011110792,0.278306575173,0.210751350797,0.23757518982,0.202975026181,0.285611473348,4465.76875652,0.00355905841836,0.0130504594359,0.0211342056216
87,37.5436666807,0.180666685104,0.205784013105,0.298748656858,0.7,0,0.01,6,0.7,"{'subsample': 0.7, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 6, 'gamma': 0}",127,0.188015619235,0.311354594283,0.217010168207,0.273109273856,0.212328438751,0.311782102436,0.0532938636207,0.00659957029529,0.0127094566211,0.0181306216359
88,36.9089999994,0.172666629155,0.207739376155,0.302888755059,0.7,0,0.01,6,0.8,"{'subsample': 0.8, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 6, 'gamma': 0}",125,0.191866491286,0.317451627426,0.217748153787,0.275418084409,0.213605436977,0.315796553342,1.12681534221,0.00590670209508,0.011351210272,0.0194364456118
89,35.3173333009,0.171999931335,0.209096147867,0.307586222888,0.7,0,0.01,6,0.9,"{'subsample': 0.9, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 6, 'gamma': 0}",123,0.191298212657,0.321055339027,0.223758242089,0.280190570979,0.21223417937,0.321512758659,0.141836389932,0.00081643740187,0.0134363625196,0.0193725513004
90,43.3433332443,0.189000050227,0.21153916252,0.324528802098,0.7,0,0.01,7,0.7,"{'subsample': 0.7, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 7, 'gamma': 0}",118,0.19570708242,0.336149624379,0.223011219052,0.301093305495,0.215901134651,0.336343476419,0.159575128659,0.00355899142803,0.0115658120957,0.0165715875403
91,42.5186666648,0.185333331426,0.214099291681,0.331718899955,0.7,0,0.01,7,0.8,"{'subsample': 0.8, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 7, 'gamma': 0}",114,0.195838150687,0.345083079368,0.227783306113,0.307122586734,0.218678665769,0.342951033763,0.179631726734,0.0051854672627,0.0134376462069,0.0174139861928
92,41.0733333429,0.18499994278,0.214470974215,0.338415969159,0.7,0,0.01,7,0.9,"{'subsample': 0.9, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 7, 'gamma': 0}",113,0.198916205951,0.351987992153,0.227681044811,0.313789760589,0.216817586318,0.349470154735,0.0887031038678,0.00163306947169,0.011859958347,0.017443671015
93,56.6366666953,0.216666618983,0.210369379844,0.360861460098,0.7,0,0.01,9,0.7,"{'subsample': 0.7, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 9, 'gamma': 0}",119,0.196446931799,0.371952680771,0.222501025348,0.338776594494,0.212161895915,0.371855105029,0.218199174142,0.00124723493204,0.010711897283,0.0156164090368
94,55.5123333931,0.21799993515,0.213489635415,0.37302735633,0.7,0,0.01,9,0.8,"{'subsample': 0.8, 'learning_rate': 0.01, 'colsample_bytree': 0.7, 'max_depth': 9, 'gamma': 0}",117,0.197136631638,0.385701169773,0.226390215946,0.349645361575,0.216944071338,0.383735537641,0.0626330817367,0.00216027427127,0.0121900705831,0.0165530296615
