,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_learning_rate,param_max_depth,param_max_features,param_min_impurity_split,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,8.03219995499,0.0558000087738,0.673754402822,0.850478977237,0.1,6,sqrt,1e-07,17,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 17, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",7,0.666298806493,0.855601611867,0.716958603403,0.84417599436,0.689359419996,0.841680098584,0.614520830114,0.856978140135,0.68163620169,0.853959041239,0.180868339919,0.00193893140049,0.0338724038183,0.00628870746783
1,8.01240000725,0.0569999694824,0.673754402822,0.850478977237,0.1,6,sqrt,1e-07,17,10,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 17, 'n_estimators': 250, 'min_samples_split': 10, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",7,0.666298806493,0.855601611867,0.716958603403,0.84417599436,0.689359419996,0.841680098584,0.614520830114,0.856978140135,0.68163620169,0.853959041239,0.114594223218,0.00126489478019,0.0338724038183,0.00628870746783
2,8.07279996872,0.0560000419617,0.673754402822,0.850478977237,0.1,6,sqrt,1e-07,17,20,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 17, 'n_estimators': 250, 'min_samples_split': 20, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",7,0.666298806493,0.855601611867,0.716958603403,0.84417599436,0.689359419996,0.841680098584,0.614520830114,0.856978140135,0.68163620169,0.853959041239,0.177086923619,0.00167334125789,0.0338724038183,0.00628870746783
3,8.02720007896,0.0571999073029,0.673754402822,0.850478977237,0.1,6,sqrt,1e-07,17,30,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 17, 'n_estimators': 250, 'min_samples_split': 30, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",7,0.666298806493,0.855601611867,0.716958603403,0.84417599436,0.689359419996,0.841680098584,0.614520830114,0.856978140135,0.68163620169,0.853959041239,0.140170465538,0.00203960025014,0.0338724038183,0.00628870746783
4,7.95920004845,0.0579999446869,0.673299632881,0.846319212385,0.1,6,sqrt,1e-07,17,40,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 17, 'n_estimators': 250, 'min_samples_split': 40, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",11,0.669546041572,0.84570152495,0.712232378277,0.842745447229,0.699502102859,0.839622547839,0.603487869815,0.853819543331,0.681731748466,0.849706998575,0.111764793614,0.00228026921631,0.0378457909476,0.00501459292022
5,7.83080000877,0.0552000045776,0.67447545916,0.841928167998,0.1,6,sqrt,1e-07,17,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 17, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",1,0.682563179596,0.843263150786,0.707417363616,0.835454948742,0.689108553785,0.838722996628,0.607235850031,0.849473309305,0.686055063167,0.84272643453,0.0764288351408,0.00172051219277,0.0346993107252,0.00472280122146
6,7.9243999958,0.0578000068665,0.670020716808,0.846640978907,0.1,6,sqrt,1e-07,19,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 19, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",13,0.660543572139,0.845869633566,0.717797686508,0.841287575081,0.686456263255,0.844783602724,0.605835516469,0.851009857296,0.679472761336,0.850254225869,0.0783290319541,0.0037629405027,0.0370188159549,0.00360128878138
7,7.94200005531,0.0593999385834,0.670020716808,0.846640978907,0.1,6,sqrt,1e-07,19,10,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 19, 'n_estimators': 250, 'min_samples_split': 10, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",13,0.660543572139,0.845869633566,0.717797686508,0.841287575081,0.686456263255,0.844783602724,0.605835516469,0.851009857296,0.679472761336,0.850254225869,0.121757126818,0.00512245764376,0.0370188159549,0.00360128878138
8,7.91180000305,0.0567999839783,0.670020716808,0.846640978907,0.1,6,sqrt,1e-07,19,20,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 19, 'n_estimators': 250, 'min_samples_split': 20, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",13,0.660543572139,0.845869633566,0.717797686508,0.841287575081,0.686456263255,0.844783602724,0.605835516469,0.851009857296,0.679472761336,0.850254225869,0.111253554901,0.0021354216541,0.0370188159549,0.00360128878138
9,7.97159996033,0.056800031662,0.670020716808,0.846640978907,0.1,6,sqrt,1e-07,19,30,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 19, 'n_estimators': 250, 'min_samples_split': 30, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",13,0.660543572139,0.845869633566,0.717797686508,0.841287575081,0.686456263255,0.844783602724,0.605835516469,0.851009857296,0.679472761336,0.850254225869,0.0926446941251,0.00248199307364,0.0370188159549,0.00360128878138
10,7.87220001221,0.0538000106812,0.668626605558,0.847031489528,0.1,6,sqrt,1e-07,19,40,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 19, 'n_estimators': 250, 'min_samples_split': 40, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",17,0.656889704922,0.849442081343,0.710930858391,0.840971218942,0.684952067584,0.840256424725,0.602444283395,0.854413483347,0.687920636243,0.850074239284,0.13250871338,0.0019390150116,0.0372733769569,0.00551709152324
11,7.76980004311,0.0533999443054,0.672659482171,0.839871037627,0.1,6,sqrt,1e-07,19,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 19, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",12,0.668051768782,0.841712213543,0.710971203249,0.834566621339,0.691125378164,0.832615604114,0.605833276681,0.849042262195,0.687319220394,0.841418486946,0.0809232219898,0.00185471781848,0.0360857668459,0.00584250007875
12,7.93959999084,0.0584000587463,0.673859371675,0.84375028857,0.1,6,sqrt,1e-07,21,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",2,0.674209032722,0.842785150464,0.707887442811,0.839605491504,0.689809743732,0.836396321659,0.616668720498,0.852581383331,0.680723527651,0.847383095891,0.0850214279506,0.00162480730804,0.0307588823282,0.00571624329971
13,7.9678000927,0.055999994278,0.673859371675,0.84375028857,0.1,6,sqrt,1e-07,21,10,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 10, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",2,0.674209032722,0.842785150464,0.707887442811,0.839605491504,0.689809743732,0.836396321659,0.616668720498,0.852581383331,0.680723527651,0.847383095891,0.12052456853,0.00167331276088,0.0307588823282,0.00571624329971
14,7.98820004463,0.0589999675751,0.673859371675,0.84375028857,0.1,6,sqrt,1e-07,21,20,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 20, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",2,0.674209032722,0.842785150464,0.707887442811,0.839605491504,0.689809743732,0.836396321659,0.616668720498,0.852581383331,0.680723527651,0.847383095891,0.168560313519,0.00316224448911,0.0307588823282,0.00571624329971
15,7.93939995766,0.0572000026703,0.673859371675,0.84375028857,0.1,6,sqrt,1e-07,21,30,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 30, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",2,0.674209032722,0.842785150464,0.707887442811,0.839605491504,0.689809743732,0.836396321659,0.616668720498,0.852581383331,0.680723527651,0.847383095891,0.07698209833,0.00159999132223,0.0307588823282,0.00571624329971
16,7.90300002098,0.0602000236511,0.673859371675,0.84375028857,0.1,6,sqrt,1e-07,21,40,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 40, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",2,0.674209032722,0.842785150464,0.707887442811,0.839605491504,0.689809743732,0.836396321659,0.616668720498,0.852581383331,0.680723527651,0.847383095891,0.124995955501,0.00271290409736,0.0307588823282,0.00571624329971
17,7.39459996223,0.0484000205994,0.667900653268,0.838815679739,0.1,6,sqrt,1e-07,21,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 21, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",19,0.662189217899,0.838520547298,0.711000767327,0.833834556354,0.683567306695,0.828384160114,0.604750624033,0.84877513944,0.677997717255,0.844563995487,0.181428336615,0.00538886203102,0.0352869075776,0.00729313741116
18,7.43919992447,0.0481999874115,0.666389845843,0.838316669888,0.1,6,sqrt,1e-07,23,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 23, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",20,0.661327463472,0.84190325919,0.713029859961,0.832723564759,0.681066646014,0.830405346662,0.600830621652,0.848820405114,0.675696819778,0.837730773714,0.0968677567495,0.00435434742466,0.0368815869773,0.00659404596611
19,8.63200001717,0.0759999752045,0.666389845843,0.838316669888,0.1,6,sqrt,1e-07,23,10,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 23, 'n_estimators': 250, 'min_samples_split': 10, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",20,0.661327463472,0.84190325919,0.713029859961,0.832723564759,0.681066646014,0.830405346662,0.600830621652,0.848820405114,0.675696819778,0.837730773714,0.161645223902,0.00228039467939,0.0368815869773,0.00659404596611
20,7.95899996758,0.0570000171661,0.666389845843,0.838316669888,0.1,6,sqrt,1e-07,23,20,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 23, 'n_estimators': 250, 'min_samples_split': 20, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",20,0.661327463472,0.84190325919,0.713029859961,0.832723564759,0.681066646014,0.830405346662,0.600830621652,0.848820405114,0.675696819778,0.837730773714,0.409203563386,0.0105452042593,0.0368815869773,0.00659404596611
21,7.68939995766,0.0496000289917,0.666389845843,0.838316669888,0.1,6,sqrt,1e-07,23,30,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 23, 'n_estimators': 250, 'min_samples_split': 30, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",20,0.661327463472,0.84190325919,0.713029859961,0.832723564759,0.681066646014,0.830405346662,0.600830621652,0.848820405114,0.675696819778,0.837730773714,0.12520318682,0.00440910155837,0.0368815869773,0.00659404596611
22,7.4039999485,0.0452000141144,0.666389845843,0.838316669888,0.1,6,sqrt,1e-07,23,40,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 23, 'n_estimators': 250, 'min_samples_split': 40, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",20,0.661327463472,0.84190325919,0.713029859961,0.832723564759,0.681066646014,0.830405346662,0.600830621652,0.848820405114,0.675696819778,0.837730773714,0.308503487197,0.00146975603674,0.0368815869773,0.00659404596611
23,7.30160002708,0.0453999519348,0.66858952916,0.839040402267,0.1,6,sqrt,1e-07,23,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 23, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",18,0.665490773181,0.841386209255,0.716117346563,0.831127501812,0.687171776301,0.8332400403,0.601111585278,0.850836085386,0.673057211754,0.838612174579,0.119483216475,0.000799989707423,0.0379140106138,0.00694381051275
24,7.39839997292,0.0452000617981,0.665836160977,0.83911019869,0.1,6,sqrt,1e-07,25,2,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 25, 'n_estimators': 250, 'min_samples_split': 2, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",25,0.661056781477,0.84349471471,0.704036714367,0.835247198445,0.679074280008,0.829857072859,0.603592130987,0.848142045048,0.681424552148,0.838809962389,0.163481636421,0.00193912813023,0.0339850070801,0.00634714864729
25,7.36959996223,0.0448000431061,0.665836160977,0.83911019869,0.1,6,sqrt,1e-07,25,10,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 25, 'n_estimators': 250, 'min_samples_split': 10, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",25,0.661056781477,0.84349471471,0.704036714367,0.835247198445,0.679074280008,0.829857072859,0.603592130987,0.848142045048,0.681424552148,0.838809962389,0.13091764234,0.00116617945515,0.0339850070801,0.00634714864729
26,7.40759997368,0.0460000038147,0.665836160977,0.83911019869,0.1,6,sqrt,1e-07,25,20,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 25, 'n_estimators': 250, 'min_samples_split': 20, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",25,0.661056781477,0.84349471471,0.704036714367,0.835247198445,0.679074280008,0.829857072859,0.603592130987,0.848142045048,0.681424552148,0.838809962389,0.114735565166,0.000632409692132,0.0339850070801,0.00634714864729
27,7.34959998131,0.0473999977112,0.665836160977,0.83911019869,0.1,6,sqrt,1e-07,25,30,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 25, 'n_estimators': 250, 'min_samples_split': 30, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",25,0.661056781477,0.84349471471,0.704036714367,0.835247198445,0.679074280008,0.829857072859,0.603592130987,0.848142045048,0.681424552148,0.838809962389,0.107774973241,0.0013564450202,0.0339850070801,0.00634714864729
28,7.3476000309,0.046799993515,0.665836160977,0.83911019869,0.1,6,sqrt,1e-07,25,40,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 25, 'n_estimators': 250, 'min_samples_split': 40, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",25,0.661056781477,0.84349471471,0.704036714367,0.835247198445,0.679074280008,0.829857072859,0.603592130987,0.848142045048,0.681424552148,0.838809962389,0.117372258349,0.00074828998883,0.0339850070801,0.00634714864729
29,7.34640002251,0.0461999893188,0.665836160977,0.83911019869,0.1,6,sqrt,1e-07,25,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 25, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",25,0.661056781477,0.84349471471,0.704036714367,0.835247198445,0.679074280008,0.829857072859,0.603592130987,0.848142045048,0.681424552148,0.838809962389,0.154863307051,0.00146971710401,0.0339850070801,0.00634714864729
0,7.40519990921,0.0513999938965,0.673882138765,0.846850385554,0.1,6,sqrt,1e-07,9,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 9, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",2,0.669819031777,0.849696884447,0.718181897578,0.842926729445,0.68206418159,0.841404482723,0.608323307257,0.852577762694,0.691026294414,0.84764606846,0.109159351978,0.00621603958406,0.0364363776026,0.00416152498614
1,7.09320001602,0.0468000411987,0.671357138807,0.842204943909,0.1,6,sqrt,1e-07,9,60,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 9, 'n_estimators': 250, 'min_samples_split': 60, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",10,0.672313524554,0.843673285956,0.71405851036,0.83817268382,0.671616620943,0.836561547364,0.612471131367,0.847416766347,0.686329416486,0.845200436058,0.100226592704,0.00365509545112,0.0332154367082,0.00415690126656
2,7.01599998474,0.0444000244141,0.671882324476,0.836966916373,0.1,6,sqrt,1e-07,9,70,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 9, 'n_estimators': 250, 'min_samples_split': 70, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",9,0.672153293766,0.840444911679,0.712730771194,0.829622123676,0.684342450607,0.830120602066,0.604598275278,0.84283398058,0.685590044786,0.841812963865,0.119450461225,0.00120002428743,0.0361641567508,0.00584501615765
3,6.92799992561,0.0426000118256,0.671036443998,0.83299689538,0.1,6,sqrt,1e-07,9,80,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 9, 'n_estimators': 250, 'min_samples_split': 80, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",14,0.662298366478,0.83627761123,0.707607862751,0.824241262504,0.684221391127,0.831855444319,0.617082470756,0.836400878325,0.683975161861,0.836209280522,0.102892231752,0.00101987026279,0.0305492607803,0.00470390544685
4,6.84120001793,0.0442000865936,0.669259900887,0.827420480678,0.1,6,sqrt,1e-07,9,90,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 9, 'n_estimators': 250, 'min_samples_split': 90, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",23,0.662126248355,0.830386819138,0.714612755665,0.818196791651,0.681681996143,0.82822927218,0.603686182338,0.833230963091,0.68419582309,0.827058557329,0.0942282048078,0.000748353705077,0.0368384012722,0.00506798660612
5,7.62020001411,0.0526000499725,0.673139396488,0.844983757573,0.1,6,sqrt,1e-07,11,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 11, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",4,0.659555295868,0.848514042662,0.727849532006,0.839229842693,0.680462535091,0.839780093546,0.614880990002,0.851400933499,0.682950929408,0.845993875467,0.152850751352,0.006085972051,0.036665939935,0.00479268303928
6,7.29000005722,0.0497999668121,0.671117735034,0.838896101373,0.1,6,sqrt,1e-07,11,60,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 11, 'n_estimators': 250, 'min_samples_split': 60, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",12,0.660787192423,0.842756282951,0.70780995042,0.83570408663,0.678211666368,0.833371155201,0.612833574,0.841174938419,0.695952113424,0.841474043665,0.117140945049,0.00278566404543,0.0332182675937,0.00367297903279
7,7.29799995422,0.0500000476837,0.672516954004,0.835006219479,0.1,6,sqrt,1e-07,11,70,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 11, 'n_estimators': 250, 'min_samples_split': 70, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",7,0.662656963826,0.838382951597,0.720438471971,0.825839876544,0.676708023399,0.830786861081,0.610583905931,0.842559774781,0.692202019304,0.837461633392,0.0926239409228,0.00400002002823,0.0364271349603,0.00593822200797
8,7.23060002327,0.0496000289917,0.671080847246,0.832372060225,0.1,6,sqrt,1e-07,11,80,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 11, 'n_estimators': 250, 'min_samples_split': 80, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",13,0.667457462376,0.831672758553,0.718090735795,0.825203314797,0.682205087701,0.831784675536,0.605988785907,0.838938885084,0.681664645419,0.834260667154,0.0804750795457,0.00257686244015,0.0365953225651,0.00444780798771
9,7.11399998665,0.0487999916077,0.672535033366,0.827129988395,0.1,6,sqrt,1e-07,11,90,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 11, 'n_estimators': 250, 'min_samples_split': 90, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",6,0.668525475893,0.832742729617,0.718924742212,0.820309394289,0.680575682528,0.824981322807,0.601730183032,0.831714567641,0.692923862544,0.825901927622,0.108751103903,0.00278564350335,0.0391459490386,0.00458621046003
10,7.49159994125,0.0514000415802,0.671121591819,0.844303134207,0.1,6,sqrt,1e-07,13,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 13, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",11,0.67137691281,0.843306939744,0.716712026771,0.843363891002,0.67938375646,0.836029264151,0.607576913196,0.849718537689,0.680560562461,0.849097038449,0.13927038112,0.00195960550078,0.0354234665744,0.00495256740818
11,7.38460006714,0.0511999607086,0.670254947391,0.836537320243,0.1,6,sqrt,1e-07,13,60,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 13, 'n_estimators': 250, 'min_samples_split': 60, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",19,0.674549816243,0.838366261867,0.717154074863,0.832220337987,0.675787486075,0.827110529491,0.601540323024,0.844406199027,0.682245847556,0.840583272843,0.129789956405,0.00213536359556,0.037720986633,0.00615036149995
12,7.29660000801,0.0490000247955,0.67268867642,0.835603636841,0.1,6,sqrt,1e-07,13,70,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 13, 'n_estimators': 250, 'min_samples_split': 70, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",5,0.666273426166,0.833862048068,0.714276330272,0.828547762671,0.687521840339,0.831819636553,0.604870402591,0.844800145696,0.690505559215,0.838988591219,0.095046519425,0.00282840757057,0.0371691273943,0.00571263233916
13,7.22179999352,0.0492000579834,0.67084915954,0.829193597464,0.1,6,sqrt,1e-07,13,80,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 13, 'n_estimators': 250, 'min_samples_split': 80, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",16,0.665418723838,0.831395021515,0.719819092126,0.826915745125,0.687329585954,0.823085660864,0.601825426786,0.837822136272,0.679855080088,0.826749423542,0.0446650424153,0.00116613856857,0.0388455026506,0.00505504573211
14,7.19140000343,0.0509999752045,0.669043111648,0.826064219692,0.1,6,sqrt,1e-07,13,90,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 13, 'n_estimators': 250, 'min_samples_split': 90, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",24,0.670408967924,0.82979738566,0.701048206197,0.817996750578,0.682660291217,0.820658476213,0.599345322242,0.834154380002,0.691758095313,0.827714106007,0.110704346931,0.00244948740793,0.0362920358968,0.00593995736195
15,7.53419995308,0.0496000289917,0.672054719487,0.842840726253,0.1,6,sqrt,1e-07,15,50,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 15, 'n_estimators': 250, 'min_samples_split': 50, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",8,0.664747987651,0.849212028356,0.716535314525,0.837600487407,0.680152071765,0.835537378678,0.608171121238,0.847983064932,0.69067146624,0.843870671888,0.0848278195777,0.00241658005718,0.0361258933363,0.00545704891943
16,7.40619997978,0.0510000228882,0.667364303553,0.83467936892,0.1,6,sqrt,1e-07,15,60,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 15, 'n_estimators': 250, 'min_samples_split': 60, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",25,0.669402279784,0.838246725999,0.711975818732,0.828032568921,0.67903174905,0.830940130486,0.600670702607,0.840286612808,0.675742931639,0.835890806387,0.11627280493,0.00303310326766,0.0364664311348,0.00455624089754
17,7.1789999485,0.0484000682831,0.669578474456,0.83250982567,0.1,6,sqrt,1e-07,15,70,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 15, 'n_estimators': 250, 'min_samples_split': 70, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",22,0.664803928507,0.836636823578,0.717232944757,0.826803245007,0.688971530615,0.826403258314,0.593882999161,0.837334729502,0.683004116367,0.835371071949,0.174723858106,0.00407917712017,0.0414252297675,0.00486525984358
18,7.28579998016,0.0481999874115,0.671022422992,0.826361543054,0.1,6,sqrt,1e-07,15,80,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 15, 'n_estimators': 250, 'min_samples_split': 80, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",15,0.66227395116,0.828067563854,0.715350197161,0.821362186174,0.683836058968,0.818223132708,0.606584806373,0.837413935218,0.687070863238,0.826740897317,0.100870888491,0.000400018706227,0.0363749508438,0.00657931731025
19,7.12759990692,0.0493999958038,0.670168696335,0.82143663386,0.1,6,sqrt,1e-07,15,90,250,10,0.8,"{'subsample': 0.8, 'min_impurity_split': 1e-07, 'learning_rate': 0.1, 'min_samples_leaf': 15, 'n_estimators': 250, 'min_samples_split': 90, 'random_state': 10, 'max_features': 'sqrt', 'max_depth': 6}",20,0.674142929058,0.825350088787,0.712972617248,0.818531563344,0.68184900179,0.813674742837,0.604205614188,0.827113234738,0.677675078975,0.822513539592,0.0920230846767,0.00149668191997,0.0357551679192,0.00484530783143
