,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_reg_alpha,param_reg_lambda,param_subsample,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
3,26.5399999619,0.0664000034332,0.673331155957,0.840845515454,0.8,0,0.1,5,0,0,0.75,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.75, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",6,0.686049175544,0.84282055202,0.727373758249,0.838850383516,0.6723321105,0.837206597463,0.609958865257,0.841958056845,0.670941310029,0.843391987425,0.278220788441,0.00257684763753,0.0376973191336,0.00240188729485
4,26.4791999817,0.069000005722,0.678352834182,0.84228555461,0.8,0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",1,0.69269834758,0.841532873115,0.724047498138,0.838541146396,0.678172615956,0.838748945087,0.618598066423,0.845640902742,0.678247618148,0.84696390571,0.243594290076,0.00328635832838,0.0342483483925,0.00347102461331
5,25.4985999584,0.0670000076294,0.675071019844,0.842986397184,0.8,0,0.1,5,0,0,0.85,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.85, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",3,0.679371788668,0.840849298491,0.716591082952,0.841281445537,0.692206953616,0.838955264739,0.609148660774,0.846876473926,0.67803730854,0.846969503229,0.375242111905,0.00126493247646,0.0357516610279,0.00330822945252
6,27.9636000633,0.0684000015259,0.66928678553,0.841095645813,0.85,0,0.1,5,0,0,0.75,"{'reg_alpha': 0, 'colsample_bytree': 0.85, 'learning_rate': 0.1, 'subsample': 0.75, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",8,0.665166028101,0.843507726185,0.721825962335,0.837296905117,0.675101156808,0.840034127107,0.618286403313,0.837120580756,0.666053619203,0.847518889902,0.677558993362,0.00313682336159,0.032932952473,0.00396067144297
7,28.4188000679,0.0727999687195,0.676698051859,0.842620285838,0.85,0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.85, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",2,0.6910136393,0.841768089167,0.720898926895,0.838823242116,0.687870520076,0.838039270831,0.608987182331,0.845904735688,0.674719526903,0.848566091389,0.0902827523262,0.00193905435745,0.0370741827614,0.00405634547725
8,28.4145999908,0.072200012207,0.671753760707,0.842766486253,0.85,0,0.1,5,0,0,0.85,"{'reg_alpha': 0, 'colsample_bytree': 0.85, 'learning_rate': 0.1, 'subsample': 0.85, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",7,0.680856027609,0.842233605435,0.70540867203,0.839570076448,0.697832106321,0.839748505744,0.619388494731,0.84341027979,0.65527964112,0.848869963847,0.0421455258785,0.00172047893441,0.0313345453618,0.00338455647955
0,25.2685998917,0.0662000656128,0.678352834182,0.84228555461,0.8,0,0.1,5,0,0,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",2,0.69269834758,0.841532873115,0.724047498138,0.838541146396,0.678172615956,0.838748945087,0.618598066423,0.845640902742,0.678247618148,0.84696390571,0.154286217918,0.00146970412414,0.0342483483925,0.00347102461331
1,25.2427999496,0.0662000179291,0.677057032439,0.842718479573,0.8,0,0.1,5,0,0.01,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.01, 'max_depth': 5, 'gamma': 0}",8,0.693562127985,0.841488605257,0.714310569231,0.83974698844,0.67626098242,0.840604958871,0.619849484157,0.845603112251,0.681302993704,0.846148733046,0.122053043509,0.00160005688728,0.0314701050941,0.00264185785825
2,25.5115999699,0.0661999702454,0.669103464624,0.841941539175,0.8,0,0.1,5,0,0.1,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0.1, 'max_depth': 5, 'gamma': 0}",18,0.679873747806,0.840064466747,0.709681780184,0.839008591122,0.668697162595,0.839030068431,0.611446131037,0.845193079372,0.675820075948,0.846411490204,0.785904964054,0.00146968466185,0.0320389600528,0.00319860041029
3,24.8289999485,0.0646000862122,0.671125863964,0.838672374476,0.8,0,0.1,5,0,1,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 1, 'max_depth': 5, 'gamma': 0}",11,0.692511197717,0.838167416999,0.717818126852,0.832856031526,0.681339284821,0.839812793201,0.601340789203,0.840260185089,0.662617926867,0.842265445566,0.114073735464,0.00120003223774,0.039203313205,0.0031879988908
4,24.8304000378,0.0645999908447,0.666181098073,0.760176850111,0.8,0,0.1,5,0,100,0.8,"{'reg_alpha': 0, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 100, 'max_depth': 5, 'gamma': 0}",21,0.670365449273,0.758832035663,0.712134360265,0.75157852266,0.675473935166,0.755605339977,0.597193665009,0.77591156823,0.675740321444,0.758956784024,0.214336710726,0.00185474867096,0.0375939422496,0.00831514739841
5,25.8941999435,0.0634000301361,0.67835283435,0.842285554575,0.8,0,0.1,5,0.01,0,0.8,"{'reg_alpha': 0.01, 'colsample_bytree': 0.8, 'learning_rate': 0.1, 'subsample': 0.8, 'reg_lambda': 0, 'max_depth': 5, 'gamma': 0}",1,0.69269834758,0.84153287308,0.724047498167,0.838541146325,0.678172615954,0.838748944903,0.618598067455,0.845640902742,0.67824761793,0.846963905822,0.177651753439,0.00101973934629,0.0342483480402,0.00347102469753
