,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_depth,param_max_features,param_min_impurity_split,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
27,11.4844000816,0.197600030899,0.42091569445,0.432427195215,17,sqrt,1e-07,81,602,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 602, 'max_features': 'sqrt', 'max_depth': 17}",26,0.409069315319,0.440045105935,0.415396564032,0.423311582016,0.422675153622,0.429453041266,0.406142276908,0.43721229958,0.451302285342,0.432113947276,0.0525645914917,0.0038261772793,0.0162193538149,0.00588163085379
28,10.7141999722,0.19359998703,0.405291205786,0.415746149369,17,sqrt,1e-07,81,802,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 802, 'max_features': 'sqrt', 'max_depth': 17}",30,0.387463461092,0.417194782663,0.407936750959,0.415428018107,0.40447845637,0.409127657399,0.390581607783,0.421051032906,0.436002951914,0.415929255768,0.0573878435428,0.0018547332454,0.0172332242611,0.00385173984508
29,10.0998000622,0.183999967575,0.389816535361,0.3989135258,17,sqrt,1e-07,81,1002,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 81, 'n_estimators': 250, 'min_samples_split': 1002, 'max_features': 'sqrt', 'max_depth': 17}",35,0.370781673047,0.39848614899,0.392318061673,0.398181485544,0.401352377596,0.40634313137,0.369046665454,0.394543481069,0.415589940619,0.397013382027,0.0754438475046,0.0033467395027,0.0178730767223,0.00396548635388
30,13.4412000179,0.230199956894,0.471051374567,0.49174963691,17,sqrt,1e-07,101,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",12,0.444512082984,0.488807565554,0.483836750864,0.494810386362,0.476008882596,0.490899061964,0.454853446789,0.500714279924,0.49605156994,0.483516890745,0.0651564416871,0.00439995418926,0.0188663525375,0.00577737626607
31,602.452399969,0.242200088501,0.468878271689,0.490192237111,17,sqrt,1e-07,101,202,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 202, 'max_features': 'sqrt', 'max_depth': 17}",14,0.456573275831,0.499897516063,0.459719606466,0.477873976653,0.484117546224,0.498869927031,0.448593144993,0.491596289578,0.495394000526,0.482723476229,1177.65281566,0.0186911411539,0.0177876876416,0.00870618211443
32,12.7345999718,0.2242000103,0.441111381417,0.455866378957,17,sqrt,1e-07,101,402,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 402, 'max_features': 'sqrt', 'max_depth': 17}",19,0.422740427156,0.458649941773,0.445493883814,0.452909242283,0.442677404469,0.450965898416,0.426936149744,0.464838104048,0.467715278167,0.451968708266,0.176344716951,0.0177921347783,0.0159232456322,0.0052190281993
33,11.7624000072,0.205200004578,0.41676764549,0.428798638857,17,sqrt,1e-07,101,602,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 602, 'max_features': 'sqrt', 'max_depth': 17}",27,0.404055944483,0.434391554716,0.402144302037,0.412388345174,0.429608656824,0.438826224341,0.402533516754,0.432061275684,0.445502543144,0.426325794372,0.111641602362,0.00342921228984,0.0177116110799,0.00914210781065
34,11.2957999706,0.214199972153,0.400025102298,0.41102606862,17,sqrt,1e-07,101,802,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 802, 'max_features': 'sqrt', 'max_depth': 17}",32,0.386461548095,0.41656448983,0.396610827572,0.405359097774,0.402342033105,0.407667980311,0.391499461341,0.421259504033,0.423217077849,0.404279271154,0.205927527067,0.00541856935622,0.0127394009856,0.00669787879199
35,10.6733999729,0.204200029373,0.38650508564,0.395625474862,17,sqrt,1e-07,101,1002,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 101, 'n_estimators': 250, 'min_samples_split': 1002, 'max_features': 'sqrt', 'max_depth': 17}",36,0.371941944157,0.397772666989,0.379483655678,0.388723228253,0.39756100193,0.400942405565,0.373214101251,0.399555272124,0.410330310095,0.391133801379,0.0987271658897,0.00679402833116,0.0150188565046,0.00481953590282
0,30.2150000572,0.461999893188,0.633653107232,0.913527416228,17,sqrt,1e-07,1,2,250,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 250, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",3,0.623527604971,0.915368478013,0.648525652806,0.909985821484,0.657148681088,0.91304001168,0.585396305002,0.915050813997,0.65367198495,0.914191955966,0.438687538573,0.00977748958969,0.0268525973001,0.00194588380143
1,59.3196000099,0.943800020218,0.638663506203,0.913945365877,17,sqrt,1e-07,1,2,500,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",1,0.62994114615,0.914357426559,0.650281734279,0.911209174723,0.657080996473,0.912448222113,0.594641210299,0.916125127164,0.661377768302,0.915586878827,1.76516534059,0.0544918680043,0.024511984323,0.00186246608125
2,169.610800028,2.52459993362,0.637298225986,0.914386876199,17,sqrt,1e-07,1,2,1500,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 1500, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",2,0.627504797224,0.916034354762,0.651392690609,0.911657268987,0.654478875633,0.912377362459,0.593968146273,0.916661436821,0.65915174291,0.915203957968,4.58748442989,0.160236830422,0.0242686547776,0.00200221553587
0,45.2818000317,0.726599931717,0.636539193457,0.913783433665,17,sqrt,1e-07,1,2,400,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 400, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",4,0.626237170285,0.916469311947,0.652287572305,0.909817423221,0.654740050807,0.910582423292,0.591064371364,0.916955981784,0.658371920369,0.915092028083,1.1989447655,0.0475042226358,0.0254168504425,0.00299890411043
1,56.6113999367,0.848400020599,0.638187269444,0.914226096509,17,sqrt,1e-07,1,2,500,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",1,0.628657916652,0.916137960748,0.656773766761,0.911321813397,0.654969683234,0.912365773169,0.593039267158,0.91740937179,0.6575002406,0.913895563442,0.234710571035,0.00454324871343,0.0250172264685,0.00227127197023
2,68.0522000313,1.02600002289,0.636618599316,0.913884292218,17,sqrt,1e-07,1,2,600,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 600, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",3,0.62606204715,0.916378144687,0.651042966008,0.911341743828,0.6533829982,0.91212537444,0.595346313814,0.915529634416,0.657263510816,0.914046563718,0.180450967563,0.0105639608794,0.0233674569777,0.00192411679441
3,79.7709999084,1.21740002632,0.637879024828,0.913469475247,17,sqrt,1e-07,1,2,700,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 700, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",2,0.6285011901,0.91552658328,0.654737615499,0.911596070183,0.654061634081,0.910884288666,0.591166753399,0.915834139113,0.66093333526,0.913506294993,0.656826261401,0.0176703410613,0.0258750945535,0.00200087583543
0,53.8171999931,0.783800029755,0.638454906857,0.914333575526,17,sqrt,1e-05,1,2,500,"{'min_impurity_split': 1e-05, 'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",1,0.628146963604,0.916328774684,0.656369531965,0.912101567592,0.654177848286,0.911571728449,0.592003993575,0.916576429029,0.661581618027,0.915089377878,0.463902320845,0.0139053448894,0.0259498091151,0.00210675615142
1,54.3773999691,0.806800031662,0.63835973602,0.914358385254,17,sqrt,1e-06,1,2,500,"{'min_impurity_split': 1e-06, 'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",2,0.632905514941,0.915407316865,0.652936002543,0.912289353992,0.656631081778,0.912022755003,0.592134853317,0.915911617971,0.657195642878,0.916160882439,1.67600365919,0.0942240079857,0.024769537616,0.00181647155398
2,55.2978000641,0.776200008392,0.637413601031,0.913637535159,17,sqrt,1e-07,1,2,500,"{'min_impurity_split': 1e-07, 'min_samples_leaf': 1, 'n_estimators': 500, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 17}",3,0.627852124229,0.915529045118,0.651277931447,0.910862260144,0.655313545011,0.91106287994,0.595543475639,0.916637611868,0.657085540162,0.914095878724,1.56149019918,0.0146615866457,0.0234272491779,0.00232892034715
